Japanese,English
合図,sign
清潔,Cleanliness
願い,Wish
幕,curtain
馬,Horse
除く,except
香り,scent
歩道,Sidewalk
想像,Imagination
備える,Provide
便,Stool
ライター,Writer
平均,average
革,leather
去る,leave
礼儀,courtesy
意思,Intention
全く,not at all
中央,Center
歓迎,welcome
輸出,export
喉,throat
間,while
修正,Correction
記念,anniversary
震える,Tremble
一家,Family
活動,Activity
少年,boy
ダンス,dance
違い,difference
週,week
だが,But
適用,Application
刈る,mow
批判,Criticism
場,Place
何か,something
利口,Clever
ちょうだい,Please
味方,Ally
局,Bureau
恋人,lover
カー,car
軍隊,army
運,luck
責任,responsibility
両替,Exchange of money
伸びる,extend
平和,peace
サービス,service
伺う,Ask
経由,via
浴びる,Take a bath
売れる,sell
国境,Border
昼食,lunch
クラシック,Classic
弁当,Lunch
飽きる,Get tired of
手間,time
効く,Be effective
逮捕,Arrest
批評,Criticism
のんびり,laid back
管,tube
回す,turn
板,Board
冒険,adventure
周囲,Surroundings
わがまま,Self-indulgence
乗客,passenger
勝ち,win
曜日,day of week
関心,interest
棒,rod
更に,Further
いえ,home
地球,Earth
担当,responsible person
直,straight
お昼,noon
建設,construction
頬,cheek
人気,popular
消防,Firefighting
やや,kind of
いわゆる,So-called
すてき,splendid
単に,simply
コード,code
値段,price
諦める,give up
様々,various
生地,material
欠ける,Be lost
なお,note that
容易,Easy
基づく,Be based
事情,Situation
一時,Time
ね,hey
文明,civilization
貸し,Lending
ボール,ball
ここ,here
要するに,in short
実験,experiment
徹底,Thorough
尊敬,respect
逆らう,Go against
心臓,heart
完全,Perfect
家具,furniture
試し,trial
才能,talent
有効,valid
笑い,Laughing
大家,Landlord
貧しい,poor
突然,suddenly
指す,Point to
券,ticket
結ぶ,tie
たびたび,Frequently
遂に,finally
占める,Occupy
墓,Grave
選択,Selection
気の毒,Sorry
内,Inside
組,set
まさに,Exactly
任せる,Entrust
迷子,Lost child
注目,attention
方,direction
タイプライター,Typewriter
うなる,Become
預ける,Deposit
地区,district
人工,Artificial
火曜,Tuesday
俳優,actor
歌手,singer
特徴,feature
銀,Silver
進歩,Progress
雰囲気,atmosphere
そう,yes
嫁,Bride
次々,One by one
スター,Star
順,order
承認,Approval
向ける,Turn
豆,beans
スケート,skate
留める,stop
合格,Passing
以前,Before
筋肉,muscle
下,under
暮らし,living
パスポート,passport
いらいら,Frustration
方法,Method
生産,production
居る,Be
次第,depend on
チーム,team
通す,Pass through
それと,And
ワイン,wine
家事,domestic affairs
結局,in the end
身長,height
流れる,Fling
計画,plan
物理,Physics
ヨーロッパ,Europe
教授,Professor
書斎,Study
避ける,avoid
飛行,Flight
必死,Desperate
カード,card
満足,satisfaction
誤り,error
釣,Fishing
奥,Deep
地下,underground
文句,Complaint
食卓,table
情報,information
泳ぎ,swimming
泉,Fountain
観光,sightseeing
航空,Aviation
嘘,lie
日付,date
物語,story
食品,Food
結果,result
騒ぎ,Noise
取れる,Be removed
語学,Language
申し訳,Sorry
孫,Grandchild
肌,skin
尤も,But
教師,teacher
裁判,trial
心配,anxiety
小麦,wheat
混雑,congestion
余り,remainder
岩,rock
月曜,Monday
述べる,Describe
前進,Advance
資本,capital
演説,speech
見事,Brilliant
論じる,Discuss
再び,again
万一,In case
常に,always
プロ,Professional
飼う,keep
狂う,Go crazy
地平線,horizon
この,this
医師,Doctor
身体,body
出版,Publication
技師,Engineer
精々,At best
だから,that's why
大抵,usually
区別,Distinction
博物館,museum
目的,the purpose
予算,budget
我慢,patience
底,bottom
あと,another thing
気候,climate
恐ろしい,That's horrible
風呂,bath
今日,today
制度,system
牛,Cow
栄養,nutrition
尻,Buttocks
跡,Trace
入場,Admission
唯一,Only
幸せ,happy
書類,document
だって,Because
喧嘩,fight
成る,Become
骨折,fracture
オーバー,over-
教科書,textbook
説,Theory
相当,Equivalent
全員,All
比較,Comparison
契約,contract
より,Than
気付く,notice
鍵,key
しかも,In addition
解く,solve
境,Border
場面,scene
環境,environment
気温,temperature
実は,actually
物質,material
家賃,rent
おや,Oya
回り,Surroundings
全て,all
不平,Complaints
硬貨,coin
援助,assistance
工場,plant
偶々,Accidentally
永久,Forever
需要,demand
デート,Date
あらゆる,every
立派,fine
発明,invention
火災,fire
酸素,oxygen
質,quality
どれ,which one
諺,proverb
責める,blame
開始,start
幸い,Happily
老い,old
招く,Be invited
王,king
済ませる,Be done
田,Rice field
砂漠,desert
支払,payment
大した,Great
繰り返す,repeat
どうしても,no matter what
エネルギー,energy
頭痛,headache
どうか,please ~
彼等,they
暮らす,live
真っ赤,bright red
体温,Body temperature
悪口,Swearing
通学,Commuting to school
息,breath
アイロン,iron
降ろす,take down
抵抗,resistance
ハンサム,good looking
台,Stand
ゲーム,game
同一,Same
唯,Only
陸,land
青年,Young man
流す,Pour
誤解,Misunderstanding
換える,exchange
代理,Proxy
川,river
出会い,encounter
意外,Surprisingly
玉,ball
愛,Love
状況,situation
風景,Landscape
姉妹,Sisters
年中,All year round
学習,study
不満,complain
暖かい,warm
勧める,recommend
閉じる,close
刑事,Criminal
動かす,move
哀れ,Sorrow
時,Time
夜中,Midnight
当時,at that time
面倒,troublesome
抜く,Pull out
基,Base
出会う,meet
明らか,clear
思い出,memory
来,Coming
未来,future
邪魔,obstacle
魚,fish
ケース,Case
数える,count
急激,Rapid
デモ,demo
握る,Hold
出来事,event
結論,Conclusion
ママ,Mom
土,soil
独特,Unique
丘,hill
小包,parcel
重要,important
表現,Expression
世紀,century
値,value
オフィス,office
喜び,joy
ジェット機,Jet
梅雨,rainy season
首相,prime minister
望み,hope
木曜,Thursday
示す,show
書物,book
腹,stomach
現れ,Appearance
追う,Chase
定期,Regular period
都会,Urban
硬い,hard
年代,Age
正,Positive
うるさい,noisy
表,table
被る,suffer
ピクニック,picnic
籠,basket
ところで,by the way
ざっと,Roughly
付き合い,Dating
植物,plant
学者,Scholar
気味,Creepy
性,sex
役,Role
幾ら,How much
渋滞,traffic jam
無料,free
無し,none
怠ける,laze
随分,Considerably
離れる,Leave
真剣,Sincerity
推薦,Recommendation
優秀,excellence
敬意,respect
衣服,clothes
御,You
処理,process
患者,patient
順調,Smoothness
行動,Behavior
演技,acting
後,rear
幅,width
生,Living
過去,past
ソファー,sofa
勢い,Momentum
保証,guarantee
用いる,Use
通り過ぎる,Pass by
居間,living room
全国,Nationwide
微妙,subtle
感じ,Feeling
徹夜,All night
価格,price
軒,Eaves
グランド,ground
恐れる,fear
熱帯,Tropical
セット,set
隠れる,hide
自身,Themselves
対象,subject
スープ,soup
二十,twenty
あんまり,not really
いち,one
武器,weapon
生じる,Be generated
膝,knees
入院,hospitalization
農民,farmers
辺り,Around
応じる,Respond to
パス,path
宅,home
戦い,Fight
ラケット,racket
神経,Nerve
エンジン,engine
郵便,Post
連れ,Companion
包み,Parcel
納得,agreement
豊富,Abundant
文,Sentence
何とか,somehow
引っ張る,pull
で,and
床,floor
存在,Existence
囲む,surround
料金,price
用心,Precaution
燃える,burn
大統領,president
適する,Suitable
正確,correct
注文,order
夫婦,couple
障害,hindrance
演奏,Performance
一番,number one
日本,Japan
母親,mother
優勝,win
誇り,pride
縦,vertical
端,end
一般,Ordinary
費用,cost
舞台,stage
クリーム,cream
道路,road
就く,Take in
信頼,trust
可能,Possible
できれば,if you can
日中,Daytime
支える,support
実施,implementation
年齢,age
評判,reputation
九,Nine
涙,tears
迎え,Greeted
たまらない,Unbearable
記入,enter
欠点,Disadvantage
角,corner
本当,TRUE
遠慮,show reserve
積もる,Accumulate
全体,whole
キロ,Kilometer
迷惑,bothersome
人類,Human race
独り,alone
束,bundle
具体,Concrete
額,amount
バン,Van
濃い,dark
芸術,art
市場,market
トンネル,tunnel
皮,leather
滞在,stay
ノー,No
じゃあ,Then
法,Law
不幸,Unfortunate
愛する,love
悲しむ,Sorrow
じっと,In a moment
有能,efficient
拍手,applause
立場,position
無視,ignore
立ち上がる,stand up
半ば,middle
兎,rabbit
おしゃべり,Chatting
正午,noon
関する,Be involved in
いつか,sometimes
仲間,fellow
級,Class
感心,Impression
穴,hole
ドレス,dress
便り,news
求める,demand
裏切る,betray
日曜,Sunday
相談,consultation
生き物,Creature
助手,assistant
旧,Old
叫ぶ,call out
なぜなら,because
金銭,money
合計,total
うがい,Gargle
ゆっくり,slowly
