毎朝,Every morning
問題,problem
お茶,tea
黒,black
台所,kitchen
葉書,postcard
ペン,pen
ニュース,news
花瓶,vase
フォーク,fork
引く,Pull
フィルム,the film
磨く,polish
押す,push
売る,sell
電気,electricity
並ぶ,line up
病気,disease
ポケット,pocket
頭,Head
はし,bridge
英語,English
家,House
一月,January
暑い,hot
遊ぶ,play
取る,take
九,Nine
閉める,close
たいへん,very
奥さん,Wife
作文,Composition
便利,convenience
右,right
寒い,cold
あびる,Ardor
十,Ten
中,During ~
消す,erase
近く,shortly
七つ,seven
テープレコーダー,Tape recorder
目,eye
空,Sky
六日,Six days
座る,sit
年,Year
男の子,boy
狭い,narrow
冷蔵庫,refrigerator
カメラ,camera
玄関,front door
違う,different
危ない,Dangerous
分かる,Understand
言う,To tell
飲む,drink
練習,training
何,what
厚い,thick
毎月,monthly
閉まる,Be closed
脱ぐ,Take off
黒い,black
登る,climb
汚い,dirty
雨,rain
お皿,The dishes
速い,fast
お風呂,bath
新しい,new
廊下,hall
茶色,brown
コート,coat
手紙,letter
要る,need
こっち,here
スプーン,spoon
時々,sometimes
傘,umbrella
いい,good
よい,good
電話,phone
勤める,serve
安い,cheap
どう,copper
道,the way
バス,bus
クラス,class
差す,Put in
スポーツ,Sports
どっち,Which one
そば,Soba
新聞,newspaper
どうして,Why
庭,garden
大きな,big
辺,Side
番号,number
家族,family
下手,poor
料理,cooking
カレー,curry
六,Six
今年,this year
初めて,first time
風邪,cold
赤い,red
甘い,sweet
西,West
毎週,Weekly
いつも,everytime
五つ,Five
建物,building
なる,Become
まっすぐ,Straight
作る,make
風,Wind
少し,a bit
大学,University
シャツ,shirt
病院,hospital
会社,company
無くす,lose
スリッパ,slipper
地下鉄,subway
ページ,page
曇る,Become cloudy
辞書,dictionary
万年筆,fountain pen
海,Ocean
エレベーター,Elevator
たぶん,perhaps
夕方,evening
東,east
声,voice
撮る,picture
私,I
両親,parents
きれい,beautiful
どうぞ,please
好き,like
静か,quiet
お父さん,father
人,Man
覚える,learn by heart
休み,holiday
池,pond
始まる,Start
困る,in trouble
ほか,other
ちゃわん,Messy
疲れる,Be tired
掃除,cleaning
賑やか,busy
一つ,one
来週,next week
財布,wallet
知る,know
教える,teach
朝御飯,Breakfast
飛ぶ,jump
言葉,words
キロ,Kilometer
キログラム,kilogram
赤,red
自分,myself
デパート,Department store
薄い,thin
高い,expensive
帰る,Return home
はい,yes
卵,egg
低い,low
なぜ,why
一日,one day
いいえ,no
小さな,small
時間,time
上げる,increase
ふろ,bath
生徒,student
レストラン,restaurant
出す,put out
かわいい,cute
音楽,music
歌,song
いちばん,number one
咲く,bloom
山,Mountain
テレビ,tv set
授業,class
暖かい,warm
セーター,sweater
自転車,bicycle
ラジカセ,Boombox
ラジオカセット,Radio cassette
つける,Put on
さ来年,Next year
学校,school
いくら,ikura
四,four
入る,come in
曇り,cloudy
外国,foreign country
温い,Warm
そうして,So
そして,and
どうも,thx
仕事,work
窓,window
晩,night
難しい,difficult
村,village
鉛筆,pencil
長い,long
生まれる,to be born
雑誌,magazine
国,Country
おまわりさん,Policeman
今朝,this morning
晴れる,Clear
夕飯,Dinner
一緒,together
どれ,which one
立つ,stand
元気,well
天気,weather
医者,doctor
七,Seven
はく,foil
だんだん,gradually
戸,door
ノート,Note
また,again
今日,today
とても,very
一昨年,Two years ago
文章,Sentence
公園,park
借りる,borrow
口,mouth
持つ,Hold
上着,Jacket
秋,autumn
悪い,bad
青い,blue
住む,live
かける,times
木曜日,Thursday
忘れる,forget
お手洗い,Bathroom
写真,photograph
ゼロ,zero
いろいろ,various
もう,already
会う,meet
南,South
五日,Five days
