雲,cloud
サンドイッチ,sandwich
故障,malfunction
怖い,scared
エスカレーター,escalator
運ぶ,bring
受ける,receive
お嬢さん,Young lady
首,neck
市民,Citizen
付く,Be attached
すく,become empty
こと,matter
訪ねる,visit
お祝い,celebration
一生懸命,try as hard as one can
済む,Be completed
アメリカ,America
復習,review
急,Sudden
これから,from now
指輪,ring
美しい,beautiful
直る,Fix
水泳,swimming
真中,middle
発音,pronunciation
手伝う,help
折れる,Be broken
一度,one time
高等学校,high school
アルコール,alcohol
アナウンサー,announcer
最初,first time
投げる,throw
変える,change
昼間,Daytime
神社,shrine
食料品,Grocery
丁寧,polite
規則,Rule
もうすぐ,very soon
絹,silk
怒る,Get angry
用,for
致す,Dash
海岸,Coast
経済,economic
以上,that's all
掛ける,Put on
届ける,deliver
適当,properness
祖父,grandfather
研究室,Lab
文学,literature
生きる,live
それほど,so
うまい,good
ずいぶん,Very much
お・金持ち,rich
続く,Continue
受付,reception
代わり,Substitute
残る,Remain
世話,care
スーツケース,suitcase
くれる,Give
会話,conversation
向かう,Head to
増える,increase
紹介,introduction
だから,that's why
季節,season
そんなに,so much
このあいだ,During this time
虫,insect
祖母,grandmother
いらっしゃる,Come
変,strange
ぶどう,Grape
直す,fix
世界,world
食事,meal
うそ,lie
合う,Fit
小鳥,Small bird
電報,telegram
星,Star
申す,Say
失敗,Failure
汽車,Train
下宿,Boarding house
思う,think
機会,chance
皆,all
苦い,bitter
特に,especially
乾く,dry
葉,leaf
かっこう,Cool
昼休み,lunch break
以下,the following
彼ら,they
寄る,Be approached
字,Character
厳しい,strict
優しい,kind
たいてい,generally
花見,Cherry blossom viewing
注射,injection
大分,Oita
ベル,Bell
景色,scenery
しかる,Be
日記,diary
お礼,Thank you
集る,Gather
大体,generally speaking
なるほど,I see
公務員,Civil servant
警察,police
空気,air
周り,Surroundings
汚れる,Be dirty
約束,promise
砂,sand
笑う,smile
しっかり,Tightly
住所,address
すり,Sashimi
注意,Note
仕方,Way
無理,unreasonableness
触る,touch
押し入れ,closet
さ来月,Next month
ビル,building
歯医者,dentist
知らせる,Inform
点,point
予定,schedule
火事,fire
出席,Attending
壁,wall
植える,Plant
生産,production
法律,law
見つかる,Be found
港,Port
連れる,Be taken to
見つける,find
辞典,dictionary
乗り換える,Transfer
役に立つ,useful
写す,Copy
理由,reason
たまに,sometimes
プレゼント,present
いっぱい,full
運動,motion
見える,appear
申し上げる,Say
冷える,Become cold
痩せる,lose weight
屋上,rooftop
ステレオ,stereo
そう,yes
お土産,souvenir
泥棒,thief
お祭り,Festival
浅い,shallow
お見舞い,Visit
アルバイト,part-time job
おつり,change
輸入,Import
人口,population
興味,interest
時代,Era
特急,Limited express
腕,arm
気分,feeling
上る,climb
いただく,Be given
泊まる,stay
盗む,steal
ひげ,Beard
坂,Slope
よろしい,Good
技術,Technology
為,In addition
小説,novel
調べる,investigate
趣味,hobby
運転手,driver
深い,deep
林,Forest
小学校,primary school
まず,first
気持ち,feeling
思い出す,remember
留守,Absent
続ける,continue
草,grass
途中,in the middle
できるだけ,As much as possible
お宅,Your house
召し上がる,Be eaten
悲しい,sad
子,Child
運転,drive
はっきり,clearly
折る,Break
今度,next time
アフリカ,Africa
壊れる,Be broken
番組,program
捕まえる,catch
タイプ,type
毛,hair
落る,Fall
場合,case
意見,opinion
通る,Pass
着物,kimono
森,wood
市,city
ほど,Degree
入院,hospitalization
カーテン,curtain
動く,Move
ぜひ,please
すばらしい,wonderful
参る,Be
ねっしん,Neshin
講堂,auditorium
もし,if
ぬれる,get wet
非常に,very
文法,grammar
表,table
おっしゃる,say
西洋,West
両方,both
払う,pay
地理,Geology
あかちゃん,Aka -chan
似る,Resemble
踊る,dance
うれしい,glad
事故,accident
さっき,some time ago
赤ん坊,baby
寂しい,lonely
複雑,complicated
眠る,sleep
近所,neighborhood
ごみ,garbage
例えば,for example
チェック・する,To check
御主人,Husband
テキスト,text
ごちそう,Feast
起す,cause
テニス,tennis
パソコン,computer
研究,the study
聞こえる,hear
間違える,mistake
看護婦,nurse
会議室,conference room
とこや,Toe
試合,game
止む,Stop
のど,Throat
戦争,war
降り出す,Get off
コンピュータ,Computer
コンピューター,computer
盛ん,Vast
取り替える,replace
支度,Preparation
社会,society
沸く,Boil
ちっとも,At all
おかげ,Thanks
ステーキ,steak
消しゴム,eraser
遠慮,show reserve
工場,plant
僕,I
招待,invitation
彼,he
妻,wife
石,stone
簡単,easy
残念,disappointing
血,blood
ピアノ,piano
おかしい,strange
家内,wife
試験,test
布団,futon
枝,branch
二階建て,Two -story building
大学生,university student
楽む,Make it easy
遠く,far away
今夜,tonight
決める,decide
なるべく,As much as possible
引き出す,Draw out
明日,tomorrow
割れる,Be cracked
田舎,country
寺,temple
釣る,fish
建てる,build
久しぶり,long time no see
男性,male
割合,ratio
相談,consultation
足す,Add
社長,president
経験,experience
訳,reason
足りる,Be sufficient
味噌,miso
もらう,get
どんどん,Steadily
工業,Industrial industry
終わり,end
いじめる,bully
立てる,Set up
歴史,history
おいでになる,It is to Come
うち,home
それで,So
ワープロ,word processor
漫画,comics
親,parent
安全,safety
案内,guidance
棚,shelf
不便,inconvenience
間,while
恥ずかしい,Embarrassed
打つ,strike
倒れる,Fall down
光,light
交通,traffic
やはり,also
やっぱり,on second thoughts
スクリーン,screen
細かい,Detailed
夫,husband
差し上げる,give
壊す,break down
そんな,Such
レジ,cash register
戻る,return
国際,international
音,sound
はず,Should
必要,need
産業,industry
進む,move on
しばらく,for a while
鏡,mirror
ソフト,soft
ちゃん,Chan
日,Day
珍しい,rare
都合,circumstances
忘れ物,lost item
驚く,Be surprised
逃げる,run away
心,heart
つもり,Intention
中学校,junior high school
隅,corner
開く,open
ジャム,jam
決る,Decide
力,Power
ねだん,Nodan
太る,Get fat
計画,plan
勝つ,win
眠い,sleepy
先輩,upperclassman
翻訳,translation
女性,woman
形,shape
ご存じ,Know
あんな,Such a thing
このごろ,These days
滑る,slide
沸かす,boil
移る,Transfer
選ぶ,select
高校生,high school student
さ来週,Next week
うん,yes
帰り,Return
湯,Hot water
昔,long ago
味,taste
アジア,Asia
人形,doll
治る,Heal
自由,freedom
パート,part
ガラス,Glass
大事,Important
遅れる,Be delayed
会場,venue
あげる,give
利用,use
泳ぎ方,Way of swimming
普通,usually
ガス,gas
必ず,surely
競争,competition
承知,know
焼く,bake
別,another
過ぎる,Pass
連絡,contact
すると,Then
暮れる,Get dark
喜ぶ,be happy
習慣,Habit
部長,Director
祈る,pray
水道,Water supply
とうとう,finally
道具,tool
ケーキ,cake
郊外,Suburb
おもちゃ,toy
最近,recently
もちろん,of course
天気予報,weather forecast
乗り物,vehicle
亡くなる,Die
尋ねる,ask
髪,hair
売り場,Sales floor
下着,underwear
鳴る,Sound
飛行場,Airfield
都,Capital
親切,Kindness
政治,Politics
予約,reserve
泣く,cry
すっと,straight
君,you
娘,daughter
踏む,Step on
店員,salesperson
通う,go
彼女,she
場所,place
木綿,cotton
畳,tatami
裏,back
びっくり・する,Be surprised
地震,earthquake
湖,lake
危険,dangerous
出発,departure
予習,preparation
将来,future
遊び,play
変わる,change
柔道,judo
説明,explanation
返事,reply
特別,special
下りる,Go down
暖房,heating
伝える,inform
展覧会,exhibition
ガソリン,gasoline
中々,Quite
糸,thread
倍,Doubling
課長,Manager
見物,Sightseeing
ガソリンスタンド,gas station
席,seat
関係,relationship
拝見,Seeing
台風,typhoon
片付ける,put away
舟,boat
または,or
教育,education
引っ越す,move
会議,meeting
米,Rice
もっとも,At most
かまう,Bite
教会,Church
落す,Drop
まじめ,Seriously
謝る,apologize
におい,smell
騒ぐ,Make a noise
島,island
すっかり,Completely
答,Answer
原因,Cause
動物園,Zoo
スーツ,suit
ああ,ah
最後,last
うかがう,Outrageous
ほとんど,largely
夢,dreams
つき,moon
高校,high school
気,air
正しい,correct
輸出,export
文化,culture
だめ,No good
けれど,But
けれども,However
飾る,decorate
準備,Preparation
卒業,graduation
間に合う,Be in time
それに,in addition
具合,Condition
贈り物,gift
堅,Firm
硬,Hardness
固い,Stiff
貿易,Trade
考える,think
別れる,break up
サラダ,salad
寝坊,Asleep
科学,Science
こう,shell
光る,Glimpse
息子,son
育てる,Raise
きっと,surely
空く,Be empty
冷房,cooling
コンサート,concert
始める,start
電灯,light
医学,Medicine
柔らかい,soft
下げる,Lower
校長,head teacher
新聞社,Newspaper company
ファックス,fax
放送,broadcast
やっと,at last
オートバイ,motorcycle
レポート,Report
リポート,Report
心配,anxiety
急行,Express
拾う,pick up
塗る,paint
線,line
用意,preparation
生活,life
退院,Discharge from the hospital
けが・する,Be injured
揺れる,Shake
入学,admission
数学,Math
ぜんぜん,At all
急ぐ,Hurry
ひどい,terrible
品物,goods
比べる,compare
包む,Wrap
十分,sufficient
ハンドバッグ,Handbag
決して,never
無くなる,Disappear
用事,business
なさる,Do
億,hundred million
楽しみ,fun
サンダル,Sandals
客,Customer
反対,oppose
火,fire
空港,airport
慣れる,Get used to
旅館,Inn
噛む,bite
漬ける,Pickle
踊り,dance
講義,lecture
送る,send
迎える,Welcome
凄い,amazing
以内,Within
探す,seek
行う,conduct
引き出し,drawer
焼ける,Burn
けんか・する,argue
背中,back
込む,In
あいさつ・する,greet
負ける,lose
ごらんになる,Look at
事務所,office
そろそろ,gradually
美術館,Art museum
あ,a
以外,apart from
じゃま,Jam
安心,feel safe
集める,collect
捨てる,dispose of
駐車場,parking
確か,Certainly
手袋,gloves
熱,heat
指,finger
止める,stop
アクセサリー,accessories
下る,Go down
ほめる,compliment
回る,spin
くださる,Be given
